dataset	subject	onset	offset	word
ses-011_task-s02e03b	sub-01	0.09	0.20600000000000002	But
ses-011_task-s02e03b	sub-01	0.228	0.366	the
ses-011_task-s02e03b	sub-01	0.388	0.698	stops
ses-011_task-s02e03b	sub-01	0.714	0.846	are
ses-011_task-s02e03b	sub-01	0.868	1.006	all
ses-011_task-s02e03b	sub-01	1.028	1.166	the
ses-011_task-s02e03b	sub-01	1.188	1.6139999999999999	same.
ses-011_task-s02e03b	sub-01	1.732	2.83	Bittertown
ses-011_task-s02e03b	sub-01	3.65	4.7620000000000005	Aloneville.
ses-011_task-s02e03b	sub-01	4.826	5.353999999999999	Hermit
ses-011_task-s02e03b	sub-01	5.402	6.11	Junction.
ses-011_task-s02e03b	sub-01	7.65	7.966	All
ses-011_task-s02e03b	sub-01	7.988	8.078000000000001	right,
ses-011_task-s02e03b	sub-01	8.084	8.206	you
ses-011_task-s02e03b	sub-01	8.228	8.318	know
ses-011_task-s02e03b	sub-01	8.324	8.398	what
ses-011_task-s02e03b	sub-01	8.404	8.526	we
ses-011_task-s02e03b	sub-01	8.548	8.638	got
ses-011_task-s02e03b	sub-01	8.644	8.766	to
ses-011_task-s02e03b	sub-01	8.788	9.07	do?
ses-011_task-s02e03b	sub-01	9.14	9.326	We
ses-011_task-s02e03b	sub-01	9.348	9.486	got
ses-011_task-s02e03b	sub-01	9.508	9.597999999999999	to
ses-011_task-s02e03b	sub-01	9.604	9.774	get
ses-011_task-s02e03b	sub-01	9.812	10.062	you
ses-011_task-s02e03b	sub-01	10.116	10.286	out
ses-011_task-s02e03b	sub-01	10.308	10.446	['of
ses-011_task-s02e03b	sub-01	10.468	10.654	here.
ses-011_task-s02e03b	sub-01	10.692	10.846	Come
ses-011_task-s02e03b	sub-01	10.868	11.006	on
ses-011_task-s02e03b	sub-01	11.028	11.178	
ses-011_task-s02e03b	sub-01	11.194	11.326	I'll
ses-011_task-s02e03b	sub-01	11.348	11.486	buy
ses-011_task-s02e03b	sub-01	11.508	11.834	you
