dataset	subject	onset	offset	word
ses-035_task-s04e23c	sub-01	2.65	2.766	The
ses-035_task-s04e23c	sub-01	2.788	3.3539999999999996	Waltham
ses-035_task-s04e23c	sub-01	3.402	4.122	residence.
ses-035_task-s04e23c	sub-01	4.266	4.574	Oh,
ses-035_task-s04e23c	sub-01	4.612	4.814	yes.
ses-035_task-s04e23c	sub-01	4.852	5.054	Is
ses-035_task-s04e23c	sub-01	5.092	5.438	this
ses-035_task-s04e23c	sub-01	5.524	6.058	"[""""Emily's"
ses-035_task-s04e23c	sub-01	6.074	6.826	parents'house?
ses-035_task-s04e23c	sub-01	6.938	7.1659999999999995	This
ses-035_task-s04e23c	sub-01	7.188	7.326	is']
ses-035_task-s04e23c	sub-01	7.348	7.486	the
ses-035_task-s04e23c	sub-01	7.508	8.282	housekeeper
ses-035_task-s04e23c	sub-01	8.346	8.814	speaking.
ses-035_task-s04e23c	sub-01	8.932	9.214	And
ses-035_task-s04e23c	sub-01	9.252	9.406	by
ses-035_task-s04e23c	sub-01	9.428	9.518	the
ses-035_task-s04e23c	sub-01	9.524	9.693999999999999	way,
ses-035_task-s04e23c	sub-01	9.732	9.934	young
ses-035_task-s04e23c	sub-01	9.972	10.266	lady,
ses-035_task-s04e23c	sub-01	10.298	10.494	that
ses-035_task-s04e23c	sub-01	10.532	10.686	is
ses-035_task-s04e23c	sub-01	10.708	10.894	not
ses-035_task-s04e23c	sub-01	10.932	11.086	how
ses-035_task-s04e23c	sub-01	11.108	11.294	one
ses-035_task-s04e23c	sub-01	11.332	11.866000000000001	addresses
ses-035_task-s04e23c	sub-01	11.898	12.046	a
ses-035_task-s04e23c	sub-01	12.068	12.398	person
ses-035_task-s04e23c	sub-01	12.484	12.686	on
ses-035_task-s04e23c	sub-01	12.708	12.894	the
ses-035_task-s04e23c	sub-01	12.932	13.870000000000001	telephone.
ses-035_task-s04e23c	sub-01	14.61	15.07	First
ses-035_task-s04e23c	sub-01	15.14	15.374	one
ses-035_task-s04e23c	sub-01	15.412	16.042	identifies
ses-035_task-s04e23c	sub-01	16.106	16.858	oneself
ses-035_task-s04e23c	sub-01	16.954	17.214000000000002	and
ses-035_task-s04e23c	sub-01	17.252	17.549999999999997	then
ses-035_task-s04e23c	sub-01	17.62	18.074	asks
ses-035_task-s04e23c	sub-01	18.122	18.286	for
ses-035_task-s04e23c	sub-01	18.308	18.446	the
ses-035_task-s04e23c	sub-01	18.468	18.75	person
ses-035_task-s04e23c	sub-01	18.82	19.054000000000002	with
ses-035_task-s04e23c	sub-01	19.092	19.305999999999997	whom
ses-035_task-s04e23c	sub-01	19.338	19.534000000000002	one
ses-035_task-s04e23c	sub-01	19.572	19.866	wishes
ses-035_task-s04e23c	sub-01	19.898	20.094	to
ses-035_task-s04e23c	sub-01	20.132	20.720000000000002	speak.
ses-035_task-s04e23c	sub-01	21.89	22.206	What
ses-035_task-s04e23c	sub-01	22.228	22.366000000000003	are
ses-035_task-s04e23c	sub-01	22.388	22.574	you
ses-035_task-s04e23c	sub-01	22.612	23.2	saying?
ses-035_task-s04e23c	sub-01	25.05	25.606	No.
ses-035_task-s04e23c	sub-01	25.708	25.926	Let
ses-035_task-s04e23c	sub-01	25.948	26.086000000000002	us
ses-035_task-s04e23c	sub-01	26.108	26.294	try
ses-035_task-s04e23c	sub-01	26.332	26.486	that
ses-035_task-s04e23c	sub-01	26.508	26.79	again,
ses-035_task-s04e23c	sub-01	26.86	27.509999999999998	shall
ses-035_task-s04e23c	sub-01	28.17	28.726000000000003	no.
ses-035_task-s04e23c	sub-01	28.828	29.48	Oh,
ses-035_task-s04e23c	sub-01	30.97	31.622	my
ses-035_task-s04e23c	sub-01	31.756	32.44	God.
ses-035_task-s04e23c	sub-01	37.95	38.266000000000005	The
ses-035_task-s04e23c	sub-01	38.288	38.806	Waltham
ses-035_task-s04e23c	sub-01	38.838	39.574	residence.
ses-035_task-s04e23c	sub-01	39.702	40.378	Hello,
ses-035_task-s04e23c	sub-01	40.544	40.82599999999999	this
ses-035_task-s04e23c	sub-01	40.848	41.034	is
ses-035_task-s04e23c	sub-01	41.072	41.414	Phoebe
ses-035_task-s04e23c	sub-01	41.462	42.214000000000006	Buffet.
ses-035_task-s04e23c	sub-01	42.342	42.586	I
ses-035_task-s04e23c	sub-01	42.608	42.794	was
ses-035_task-s04e23c	sub-01	42.832	43.382	['wondering
ses-035_task-s04e23c	sub-01	43.446	44.058	
ses-035_task-s04e23c	sub-01	44.224	44.50599999999999	please
ses-035_task-s04e23c	sub-01	44.528	44.678	
ses-035_task-s04e23c	sub-01	44.694	44.874	not
ses-035_task-s04e23c	sub-01	44.912	45.018	too
ses-035_task-s04e23c	sub-01	45.024	45.194	much
ses-035_task-s04e23c	sub-01	45.232	45.622	trouble,
ses-035_task-s04e23c	sub-01	45.686	46.3	please.
ses-035_task-s04e23c	sub-01	48.19	48.693999999999996	Emily
ses-035_task-s04e23c	sub-01	48.742	49.302	Waltham,
ses-035_task-s04e23c	sub-01	49.366	49.98	please.
ses-035_task-s04e23c	sub-01	50.67	51.082	Miss
ses-035_task-s04e23c	sub-01	51.136	51.846000000000004	Waltham
ses-035_task-s04e23c	sub-01	51.958	52.234	is
ses-035_task-s04e23c	sub-01	52.272	52.426	at
ses-035_task-s04e23c	sub-01	52.448	52.598	the
ses-035_task-s04e23c	sub-01	52.624	53.146	rehearsal
ses-035_task-s04e23c	sub-01	53.178	53.69	dinner,
ses-035_task-s04e23c	sub-01	53.77	54.014	and
ses-035_task-s04e23c	sub-01	54.052	54.158	it
ses-035_task-s04e23c	sub-01	54.164	54.334	is
ses-035_task-s04e23c	sub-01	54.372	54.622	not
ses-035_task-s04e23c	sub-01	54.676	55.146	polite
ses-035_task-s04e23c	sub-01	55.178	55.326	to
ses-035_task-s04e23c	sub-01	55.348	55.534	make
ses-035_task-s04e23c	sub-01	55.572	55.774	fun
ses-035_task-s04e23c	sub-01	55.812	56.4	of
ses-035_task-s04e23c	sub-01	57.41	57.821999999999996	no,
ses-035_task-s04e23c	sub-01	57.876	58.525999999999996	['no
ses-035_task-s04e23c	sub-01	58.708	59.018	
ses-035_task-s04e23c	sub-01	59.034	59.166	I'll
ses-035_task-s04e23c	sub-01	59.188	59.374	be
ses-035_task-s04e23c	sub-01	59.412	59.566	nice
ses-035_task-s04e23c	sub-01	59.588	59.914	swear.
ses-035_task-s04e23c	sub-01	59.962	60.126000000000005	Could
ses-035_task-s04e23c	sub-01	60.148	60.286	you
ses-035_task-s04e23c	sub-01	60.308	60.446	just
ses-035_task-s04e23c	sub-01	60.468	60.55800000000001	give
ses-035_task-s04e23c	sub-01	60.564	60.686	me
ses-035_task-s04e23c	sub-01	60.708	60.846	the
ses-035_task-s04e23c	sub-01	60.868	61.054	number
ses-035_task-s04e23c	sub-01	61.092	61.294	['for
ses-035_task-s04e23c	sub-01	61.332	61.486000000000004	where
ses-035_task-s04e23c	sub-01	61.508	61.646	they
ses-035_task-s04e23c	sub-01	61.668	62.046	are?
ses-035_task-s04e23c	sub-01	62.148	62.426	"I'm""""]"
ses-035_task-s04e23c	sub-01	62.458	62.794	['afraid
ses-035_task-s04e23c	sub-01	62.842	63.065999999999995	I'm
ses-035_task-s04e23c	sub-01	63.098	63.342	not
ses-035_task-s04e23c	sub-01	63.396	63.614000000000004	at
ses-035_task-s04e23c	sub-01	63.652	63.994	liberty']
ses-035_task-s04e23c	sub-01	64.042	64.254	to
ses-035_task-s04e23c	sub-01	64.292	64.746	divulge
ses-035_task-s04e23c	sub-01	64.778	64.974	that
ses-035_task-s04e23c	sub-01	65.012	65.598	information.
ses-035_task-s04e23c	sub-01	65.764	66.094	Okay,
ses-035_task-s04e23c	sub-01	66.132	66.43	look,
ses-035_task-s04e23c	sub-01	66.5	66.83	somebody
ses-035_task-s04e23c	sub-01	66.9	67.134	is
ses-035_task-s04e23c	sub-01	67.172	67.326	on
ses-035_task-s04e23c	sub-01	67.348	67.486	their
ses-035_task-s04e23c	sub-01	67.508	67.694	way
ses-035_task-s04e23c	sub-01	67.732	67.934	to
ses-035_task-s04e23c	sub-01	67.972	68.26599999999999	ruin
ses-035_task-s04e23c	sub-01	68.298	68.446	the
ses-035_task-s04e23c	sub-01	68.468	68.794	wedding,
ses-035_task-s04e23c	sub-01	68.842	69.018	okay?
ses-035_task-s04e23c	sub-01	69.044	69.18599999999999	And
ses-035_task-s04e23c	sub-01	69.208	69.346	I
ses-035_task-s04e23c	sub-01	69.368	69.458	have
ses-035_task-s04e23c	sub-01	69.464	69.586	to
ses-035_task-s04e23c	sub-01	69.608	69.982	warn
ses-035_task-s04e23c	sub-01	70.046	70.51400000000001	somebody,
ses-035_task-s04e23c	sub-01	70.632	70.81800000000001	all
ses-035_task-s04e23c	sub-01	70.824	70.946	right?
ses-035_task-s04e23c	sub-01	70.968	71.10600000000001	So
ses-035_task-s04e23c	sub-01	71.128	71.31400000000001	if
ses-035_task-s04e23c	sub-01	71.352	71.506	you
ses-035_task-s04e23c	sub-01	71.528	71.67800000000001	"[""""don't"
ses-035_task-s04e23c	sub-01	71.694	71.82600000000001	give
ses-035_task-s04e23c	sub-01	71.848	71.986	me
ses-035_task-s04e23c	sub-01	72.008	72.194	that
ses-035_task-s04e23c	sub-01	72.232	72.482	number
ses-035_task-s04e23c	sub-01	72.536	72.706	
ses-035_task-s04e23c	sub-01	72.728	72.92599999999999	then
ses-035_task-s04e23c	sub-01	72.958	73.05799999999999	['going
ses-035_task-s04e23c	sub-01	73.064	73.13799999999999	to
ses-035_task-s04e23c	sub-01	73.144	73.31400000000001	come
