dataset	subject	onset	offset	word
ses-002_task-bourne06	sub-01	0.84	0.9279999999999999	She
ses-002_task-bourne06	sub-01	0.928	1.032	used
ses-002_task-bourne06	sub-01	1.032	1.1360000000000001	to
ses-002_task-bourne06	sub-01	1.136	1.3439999999999999	handle
ses-002_task-bourne06	sub-01	1.366	2.21	logistics.
ses-002_task-bourne06	sub-01	2.75	4.1739999999999995	Alexanderplatz
ses-002_task-bourne06	sub-01	4.262	4.558	30
ses-002_task-bourne06	sub-01	4.614	4.942	minutes,
ses-002_task-bourne06	sub-01	5.006	5.206	under
ses-002_task-bourne06	sub-01	5.238	5.3580000000000005	the
ses-002_task-bourne06	sub-01	5.374	5.574	world
ses-002_task-bourne06	sub-01	5.622	6.1739999999999995	clock.
ses-002_task-bourne06	sub-01	6.302	6.582	Send
ses-002_task-bourne06	sub-01	6.606	6.718	her
ses-002_task-bourne06	sub-01	6.734	7.43	alone
ses-002_task-bourne06	sub-01	7.59	7.838	Give
ses-002_task-bourne06	sub-01	7.854	7.958	her
ses-002_task-bourne06	sub-01	7.974	8.126	your
ses-002_task-bourne06	sub-01	8.158	8.729999999999999	phone.
ses-002_task-bourne06	sub-01	9.27	9.581999999999999	['What
ses-002_task-bourne06	sub-01	9.606	9.718	if
ses-002_task-bourne06	sub-01	9.734	9.814	I
ses-002_task-bourne06	sub-01	9.822	10.005999999999998	can't
ses-002_task-bourne06	sub-01	10.038	10.23	find']
ses-002_task-bourne06	sub-01	10.27	10.902	['her?
ses-002_task-bourne06	sub-01	11.086	11.446	"It's""""]"
ses-002_task-bourne06	sub-01	11.478	12.198	['easy.
ses-002_task-bourne06	sub-01	12.374	12.742	She's
ses-002_task-bourne06	sub-01	12.766	13.046	standing
ses-002_task-bourne06	sub-01	13.078	13.222	right
ses-002_task-bourne06	sub-01	13.246	13.382	next']
ses-002_task-bourne06	sub-01	13.406	13.518	to
ses-002_task-bourne06	sub-01	13.534	14.09	you.
ses-002_task-bourne06	sub-01	29.03	29.358	"[""""There's"
ses-002_task-bourne06	sub-01	29.374	29.526	just
ses-002_task-bourne06	sub-01	29.558	29.726	so']
ses-002_task-bourne06	sub-01	29.758	30.33	many.
ses-002_task-bourne06	sub-01	32.334	32.534000000000006	Check the
ses-002_task-bourne06	sub-01	32.582	33.486000000000004	quadrant.
ses-002_task-bourne06	sub-01	33.678	33.982	Pull
ses-002_task-bourne06	sub-01	34.006	34.094	it
ses-002_task-bourne06	sub-01	34.102	34.65	up.
ses-002_task-bourne06	sub-01	36.91	37.629999999999995	Clock
ses-002_task-bourne06	sub-01	37.71	38.118	is
ses-002_task-bourne06	sub-01	38.214	38.47	right
ses-002_task-bourne06	sub-01	38.51	38.71	here.
ses-002_task-bourne06	sub-01	38.75	39.006	['Shit.
ses-002_task-bourne06	sub-01	39.038	39.221999999999994	He's
ses-002_task-bourne06	sub-01	39.246	39.382000000000005	put
ses-002_task-bourne06	sub-01	39.406	39.518	her
ses-002_task-bourne06	sub-01	39.534	39.638	right
ses-002_task-bourne06	sub-01	39.654	39.734	in
ses-002_task-bourne06	sub-01	39.742	39.814	the
ses-002_task-bourne06	sub-01	39.822	39.958000000000006	middle
ses-002_task-bourne06	sub-01	39.974	40.15	of.']
ses-002_task-bourne06	sub-01	40.302	40.566	This
ses-002_task-bourne06	sub-01	40.638	40.821999999999996	is
ses-002_task-bourne06	sub-01	40.846	41.00599999999999	a
ses-002_task-bourne06	sub-01	41.038	41.397999999999996	security
ses-002_task-bourne06	sub-01	41.494	41.822	nightmare.
ses-002_task-bourne06	sub-01	41.846	41.958	There
ses-002_task-bourne06	sub-01	41.974	42.102	is
ses-002_task-bourne06	sub-01	42.126	42.309999999999995	no
ses-002_task-bourne06	sub-01	42.35	42.526	way
ses-002_task-bourne06	sub-01	42.558	42.678	we
ses-002_task-bourne06	sub-01	42.694	42.774	are
ses-002_task-bourne06	sub-01	42.782	42.854	going
ses-002_task-bourne06	sub-01	42.862	42.982	to
ses-002_task-bourne06	sub-01	43.006	43.118	get
ses-002_task-bourne06	sub-01	43.134	43.286	her
ses-002_task-bourne06	sub-01	43.318	43.797999999999995	covered.
ses-002_task-bourne06	sub-01	43.894	44.126	Call
ses-002_task-bourne06	sub-01	44.158	44.302	a
ses-002_task-bourne06	sub-01	44.326	44.67	mayday
ses-002_task-bourne06	sub-01	44.71	44.886	into
ses-002_task-bourne06	sub-01	44.918	45.286	Berlin
ses-002_task-bourne06	sub-01	45.358	45.717999999999996	station.
ses-002_task-bourne06	sub-01	45.774	45.942	We
ses-002_task-bourne06	sub-01	45.966	46.174	need
ses-002_task-bourne06	sub-01	46.222	46.75	snipers,
ses-002_task-bourne06	sub-01	46.83	47.397999999999996	DoD,
ses-002_task-bourne06	sub-01	47.454	47.726	['whatever
ses-002_task-bourne06	sub-01	47.758	47.854	they've
ses-002_task-bourne06	sub-01	47.862	47.958	got.
ses-002_task-bourne06	sub-01	47.974	48.102	No
ses-002_task-bourne06	sub-01	48.126	48.541999999999994	snipers.
ses-002_task-bourne06	sub-01	48.606	48.806000000000004	No']
ses-002_task-bourne06	sub-01	48.838	49.326	snipers.
ses-002_task-bourne06	sub-01	49.398	49.558	You
ses-002_task-bourne06	sub-01	49.574	49.702	put
ses-002_task-bourne06	sub-01	49.726	50.07	snipers
ses-002_task-bourne06	sub-01	50.11	50.214	on
ses-002_task-bourne06	sub-01	50.222	50.318	the
ses-002_task-bourne06	sub-01	50.334	50.462	roof
ses-002_task-bourne06	sub-01	50.486	50.574	and
ses-002_task-bourne06	sub-01	50.582	50.766	"[""""it'll"
ses-002_task-bourne06	sub-01	50.798	50.99	scare
ses-002_task-bourne06	sub-01	51.03	51.158	him
ses-002_task-bourne06	sub-01	51.174	51.278	off
ses-002_task-bourne06	sub-01	51.294	51.422	
ses-002_task-bourne06	sub-01	51.446	51.558	and
ses-002_task-bourne06	sub-01	51.574	51.726	I
ses-002_task-bourne06	sub-01	51.758	52.078	need
ses-002_task-bourne06	sub-01	52.134	52.278	['You
ses-002_task-bourne06	sub-01	52.294	52.486	can't
ses-002_task-bourne06	sub-01	52.518	52.71	really
ses-002_task-bourne06	sub-01	52.75	52.95	believe
ses-002_task-bourne06	sub-01	52.99	53.142	he
ses-002_task-bourne06	sub-01	53.166	53.318	wants
ses-002_task-bourne06	sub-01	53.334	53.438	to
ses-002_task-bourne06	sub-01	53.454	53.582	come']
ses-002_task-bourne06	sub-01	53.606	53.79	in.
ses-002_task-bourne06	sub-01	53.83	53.958	He
ses-002_task-bourne06	sub-01	53.974	54.166	knows
ses-002_task-bourne06	sub-01	54.198	54.414	something
ses-002_task-bourne06	sub-01	54.462	54.598000000000006	about
ses-002_task-bourne06	sub-01	54.614	54.717999999999996	the
ses-002_task-bourne06	sub-01	54.734	55.102000000000004	Nesky
ses-002_task-bourne06	sub-01	55.126	55.538	['case
ses-002_task-bourne06	sub-01	55.654	55.858000000000004	and
ses-002_task-bourne06	sub-01	55.874	56.002	I'm
ses-002_task-bourne06	sub-01	56.026	56.138000000000005	not
ses-002_task-bourne06	sub-01	56.154	56.306000000000004	gonna
ses-002_task-bourne06	sub-01	56.338	56.506	pass']
ses-002_task-bourne06	sub-01	56.538	56.657999999999994	['up
ses-002_task-bourne06	sub-01	56.674	56.802	this
ses-002_task-bourne06	sub-01	56.826	57.026	chance
ses-002_task-bourne06	sub-01	57.058	57.202	to
ses-002_task-bourne06	sub-01	57.226	57.385999999999996	find
ses-002_task-bourne06	sub-01	57.418	57.538	out
ses-002_task-bourne06	sub-01	57.554	57.634	what
ses-002_task-bourne06	sub-01	57.642	57.738	it
ses-002_task-bourne06	sub-01	57.754	57.882	is.
ses-002_task-bourne06	sub-01	57.906	58.106	"Don't""""]"
ses-002_task-bourne06	sub-01	58.138	58.257999999999996	['be
ses-002_task-bourne06	sub-01	58.274	58.426	a
ses-002_task-bourne06	sub-01	58.458	58.698	fool.
ses-002_task-bourne06	sub-01	58.754	58.922	Not
ses-002_task-bourne06	sub-01	58.946	59.082	when
ses-002_task-bourne06	sub-01	59.106	59.242000000000004	we're
ses-002_task-bourne06	sub-01	59.266	59.402	this']
ses-002_task-bourne06	sub-01	59.426	59.634	close.
ses-002_task-bourne06	sub-01	59.682	59.818000000000005	Are
ses-002_task-bourne06	sub-01	59.834	59.962	we
ses-002_task-bourne06	sub-01	59.986	60.226	talking
ses-002_task-bourne06	sub-01	60.258	60.426	about
ses-002_task-bourne06	sub-01	60.458	60.866	protecting
ses-002_task-bourne06	sub-01	60.898	61.186	['Nikki
ses-002_task-bourne06	sub-01	61.218	61.362	or
ses-002_task-bourne06	sub-01	61.386	61.602000000000004	killing
ses-002_task-bourne06	sub-01	61.626	62.01	Bourne?
ses-002_task-bourne06	sub-01	62.05	62.202	We're
ses-002_task-bourne06	sub-01	62.226	62.426	talking']
ses-002_task-bourne06	sub-01	62.458	62.65	['about
ses-002_task-bourne06	sub-01	62.69	62.946	killing
ses-002_task-bourne06	sub-01	62.978	63.346000000000004	Bourne.
ses-002_task-bourne06	sub-01	63.378	63.562	We're
ses-002_task-bourne06	sub-01	63.586	63.786	talking
ses-002_task-bourne06	sub-01	63.818	63.961999999999996	about']
ses-002_task-bourne06	sub-01	63.986	64.098	the
ses-002_task-bourne06	sub-01	64.114	64.266	next
ses-002_task-bourne06	sub-01	64.298	64.46600000000001	dead
ses-002_task-bourne06	sub-01	64.498	64.714	body.
ses-002_task-bourne06	sub-01	64.762	64.922	It
ses-002_task-bourne06	sub-01	64.946	65.05799999999999	might
ses-002_task-bourne06	sub-01	65.074	65.178	be
ses-002_task-bourne06	sub-01	65.194	65.46600000000001	Nikki.
ses-002_task-bourne06	sub-01	65.498	65.59400000000001	['It
ses-002_task-bourne06	sub-01	65.602	65.72200000000001	will
ses-002_task-bourne06	sub-01	65.746	65.88199999999999	be
ses-002_task-bourne06	sub-01	65.906	66.21000000000001	someone.
ses-002_task-bourne06	sub-01	66.29	66.506	You're
ses-002_task-bourne06	sub-01	66.538	66.706	not
ses-002_task-bourne06	sub-01	66.738	67.01	hearing']
ses-002_task-bourne06	sub-01	67.05	67.562	me.
ses-002_task-bourne06	sub-01	67.706	68.202	Bourne
ses-002_task-bourne06	sub-01	68.266	68.602	dead
ses-002_task-bourne06	sub-01	68.666	68.88199999999999	gives
ses-002_task-bourne06	sub-01	68.906	69.066	me
ses-002_task-bourne06	sub-01	69.098	69.75	nothing.
