dataset,npy_path,T_2Hz,n_layers,dim
ses-001_task-bourne01,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-001_task-bourne01.npy,1193,1,-1
ses-001_task-bourne02,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-001_task-bourne02.npy,1199,1,1024
ses-001_task-bourne03,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-001_task-bourne03.npy,1199,1,1024
ses-001_task-bourne04,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-001_task-bourne04.npy,1199,1,1024
ses-001_task-bourne05,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-001_task-bourne05.npy,1199,1,1024
ses-002_task-bourne06,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-002_task-bourne06.npy,1199,1,1024
ses-002_task-bourne07,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-002_task-bourne07.npy,1199,1,1024
ses-002_task-bourne08,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-002_task-bourne08.npy,1199,1,1024
ses-002_task-bourne09,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-002_task-bourne09.npy,1199,1,1024
ses-002_task-bourne10,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-002_task-bourne10.npy,1125,1,1024
ses-003_task-wolf01,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-003_task-wolf01.npy,1202,1,1024
ses-003_task-wolf02,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-003_task-wolf02.npy,1202,1,1024
ses-003_task-wolf03,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-003_task-wolf03.npy,1202,1,1024
ses-003_task-wolf04,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-003_task-wolf04.npy,1202,1,1024
ses-003_task-wolf05,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-003_task-wolf05.npy,1202,1,1024
ses-003_task-wolf06,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-003_task-wolf06.npy,1202,1,1024
ses-004_task-wolf07,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-004_task-wolf07.npy,1202,1,1024
ses-004_task-wolf08,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-004_task-wolf08.npy,1202,1,1024
ses-004_task-wolf09,/home/lawrence/Desktop/algonauts-2025/algonauts2025/pipeline_IMAGEBIND/features/vision_2hz/sub-01/ses-004_task-wolf09.npy,1202,1,1024
