dataset	subject	onset	offset	word
ses-008_task-figures05_run-1	sub-01	7.72	8.048	One,
ses-008_task-figures05_run-1	sub-01	8.094	8.302	you
ses-008_task-figures05_run-1	sub-01	8.326	8.414	make
ses-008_task-figures05_run-1	sub-01	8.422	8.518	it
ses-008_task-figures05_run-1	sub-01	8.534	8.686	two,
ses-008_task-figures05_run-1	sub-01	8.718	8.838	make
ses-008_task-figures05_run-1	sub-01	8.854	8.934	it
ses-008_task-figures05_run-1	sub-01	8.942	9.126	['double.
ses-008_task-figures05_run-1	sub-01	9.158	9.43	Okay
ses-008_task-figures05_run-1	sub-01	9.47	9.574	
ses-008_task-figures05_run-1	sub-01	9.582	9.718	you
ses-008_task-figures05_run-1	sub-01	9.734	9.838	gotta
ses-008_task-figures05_run-1	sub-01	9.854	10.149999999999999	get
ses-008_task-figures05_run-1	sub-01	10.23	10.422	it.
ses-008_task-figures05_run-1	sub-01	10.446	10.533999999999999	make
ses-008_task-figures05_run-1	sub-01	10.542	10.638	it
ses-008_task-figures05_run-1	sub-01	10.654	11.21	happen.
ses-008_task-figures05_run-1	sub-01	14.03	14.341999999999999	No
ses-008_task-figures05_run-1	sub-01	14.366	14.478	one
ses-008_task-figures05_run-1	sub-01	14.494	14.67	thought
ses-008_task-figures05_run-1	sub-01	14.71	14.886000000000001	to
ses-008_task-figures05_run-1	sub-01	14.918	15.126	measure
ses-008_task-figures05_run-1	sub-01	15.158	15.35	these
ses-008_task-figures05_run-1	sub-01	15.39	15.97	things?
ses-008_task-figures05_run-1	sub-01	16.43	16.766	"[""""I'm"
ses-008_task-figures05_run-1	sub-01	16.798	17.046	afraid
ses-008_task-figures05_run-1	sub-01	17.078	17.27	not
ses-008_task-figures05_run-1	sub-01	17.31	17.889999999999997	sir.
ses-008_task-figures05_run-1	sub-01	19.39	19.702	Well,
ses-008_task-figures05_run-1	sub-01	19.726	19.837999999999997	would
ses-008_task-figures05_run-1	sub-01	19.854	19.958	you
ses-008_task-figures05_run-1	sub-01	19.974	20.102	like
ses-008_task-figures05_run-1	sub-01	20.126	20.214000000000002	us
ses-008_task-figures05_run-1	sub-01	20.222	20.342000000000002	to
ses-008_task-figures05_run-1	sub-01	20.366	20.93	stop?
ses-008_task-figures05_run-1	sub-01	21.75	22.446	No,
ses-008_task-figures05_run-1	sub-01	22.598	23.125999999999998	no.
ses-008_task-figures05_run-1	sub-01	23.238	23.89	Just
ses-008_task-figures05_run-1	sub-01	25.78	26.14	keep
ses-008_task-figures05_run-1	sub-01	26.18	26.759999999999998	going.
ses-008_task-figures05_run-1	sub-01	27.7	27.988	In
ses-008_task-figures05_run-1	sub-01	28.004	28.560000000000002	fact,
ses-008_task-figures05_run-1	sub-01	29.58	29.915999999999997	use
ses-008_task-figures05_run-1	sub-01	29.948	30.092	the
ses-008_task-figures05_run-1	sub-01	30.116	30.252	big
ses-008_task-figures05_run-1	sub-01	30.276	30.668	hammer.
ses-008_task-figures05_run-1	sub-01	30.724	30.916	Yes,
ses-008_task-figures05_run-1	sub-01	30.948	31.524	sir.
ses-008_task-figures05_run-1	sub-01	31.692	31.972	Come
ses-008_task-figures05_run-1	sub-01	31.996	32.108	on,
