dataset	subject	onset	offset	word
ses-056_task-s06e08a	sub-01	6.09	6.446	['Hi.
ses-056_task-s06e08a	sub-01	6.548	6.766	My
ses-056_task-s06e08a	sub-01	6.788	6.986000000000001	"name's""""]"
ses-056_task-s06e08a	sub-01	7.018	7.466	Chandler.
ses-056_task-s06e08a	sub-01	7.498	7.598	I
ses-056_task-s06e08a	sub-01	7.604	7.726	just
ses-056_task-s06e08a	sub-01	7.748	7.946000000000001	moved
ses-056_task-s06e08a	sub-01	7.978	8.126	in
ses-056_task-s06e08a	sub-01	8.148	8.334	next
ses-056_task-s06e08a	sub-01	8.372	8.81	door
ses-056_task-s06e08a	sub-01	8.89	9.086	['and
ses-056_task-s06e08a	sub-01	9.108	9.198	I
ses-056_task-s06e08a	sub-01	9.204	9.326	was
ses-056_task-s06e08a	sub-01	9.348	9.498000000000001	wondering
ses-056_task-s06e08a	sub-01	9.514	9.597999999999999	if
ses-056_task-s06e08a	sub-01	9.604	9.738	you'd
ses-056_task-s06e08a	sub-01	9.754	9.838	be
ses-056_task-s06e08a	sub-01	9.844	10.062	interested
ses-056_task-s06e08a	sub-01	10.116	10.286	in']
ses-056_task-s06e08a	sub-01	10.308	10.586	battling
ses-056_task-s06e08a	sub-01	10.618	10.766	me
ses-056_task-s06e08a	sub-01	10.788	10.926	in
ses-056_task-s06e08a	sub-01	10.948	11.038	a
ses-056_task-s06e08a	sub-01	11.044	11.214	post
ses-056_task-s06e08a	sub-01	11.252	11.946000000000002	apocalyptic
ses-056_task-s06e08a	sub-01	11.978	12.222	world
ses-056_task-s06e08a	sub-01	12.276	12.446	for
ses-056_task-s06e08a	sub-01	12.468	12.654	control
ses-056_task-s06e08a	sub-01	12.692	12.846	of
ses-056_task-s06e08a	sub-01	12.868	12.958	the
ses-056_task-s06e08a	sub-01	12.964	13.466000000000001	"[""""galaxy's"
ses-056_task-s06e08a	sub-01	13.498	13.645999999999999	last
ses-056_task-s06e08a	sub-01	13.668	14.026	remaining
ses-056_task-s06e08a	sub-01	14.058	14.446	energy']
ses-056_task-s06e08a	sub-01	14.548	15.31	source.
ses-056_task-s06e08a	sub-01	16.61	17.36	Sure.
ses-056_task-s06e08a	sub-01	20.21	20.794	Shanina
ses-056_task-s06e08a	sub-01	20.842	21.29	['Rand.
ses-056_task-s06e08a	sub-01	21.37	21.614	No
ses-056_task-s06e08a	sub-01	21.652	21.946	
ses-056_task-s06e08a	sub-01	21.978	22.126	she's
ses-056_task-s06e08a	sub-01	22.148	22.394	dance
ses-056_task-s06e08a	sub-01	22.442	22.798000000000002	class.
ses-056_task-s06e08a	sub-01	22.884	23.086000000000002	Can
ses-056_task-s06e08a	sub-01	23.108	23.198	I
ses-056_task-s06e08a	sub-01	23.204	23.326	check
ses-056_task-s06e08a	sub-01	23.348	23.438	out
ses-056_task-s06e08a	sub-01	23.444	23.518	what
ses-056_task-s06e08a	sub-01	23.524	23.646	she
ses-056_task-s06e08a	sub-01	23.668	23.758	did
ses-056_task-s06e08a	sub-01	23.764	23.838	with
ses-056_task-s06e08a	sub-01	23.844	23.966	my
ses-056_task-s06e08a	sub-01	23.988	24.27	room?
ses-056_task-s06e08a	sub-01	24.34	24.526	Yeah.
ses-056_task-s06e08a	sub-01	24.548	24.686	But
ses-056_task-s06e08a	sub-01	24.708	24.965999999999998	hey,
ses-056_task-s06e08a	sub-01	25.028	25.206	look,
ses-056_task-s06e08a	sub-01	25.228	25.378	"[""""don't"
ses-056_task-s06e08a	sub-01	25.394	25.526	go
ses-056_task-s06e08a	sub-01	25.548	25.733999999999998	through
ses-056_task-s06e08a	sub-01	25.772	25.926	her
ses-056_task-s06e08a	sub-01	25.948	26.134	stuff.
ses-056_task-s06e08a	sub-01	26.172	26.326	She
ses-056_task-s06e08a	sub-01	26.348	26.534	gets
ses-056_task-s06e08a	sub-01	26.572	26.774	really']
ses-056_task-s06e08a	sub-01	26.812	27.51	mad.
ses-056_task-s06e08a	sub-01	31.21	31.526	Oh,
ses-056_task-s06e08a	sub-01	31.548	31.733999999999998	my
ses-056_task-s06e08a	sub-01	31.772	32.36	God.
ses-056_task-s06e08a	sub-01	33.37	33.698	"[""""It's"
ses-056_task-s06e08a	sub-01	33.714	33.846	like
ses-056_task-s06e08a	sub-01	33.868	34.006	a
ses-056_task-s06e08a	sub-01	34.028	34.214	guy']
ses-056_task-s06e08a	sub-01	34.252	34.454	never
ses-056_task-s06e08a	sub-01	34.492	34.785999999999994	lived
ses-056_task-s06e08a	sub-01	34.818	34.966	in
ses-056_task-s06e08a	sub-01	34.988	35.56	here.
ses-056_task-s06e08a	sub-01	36.41	36.773999999999994	Look,
ses-056_task-s06e08a	sub-01	36.812	36.966	you
ses-056_task-s06e08a	sub-01	36.988	37.078	got
ses-056_task-s06e08a	sub-01	37.084	37.206	to
ses-056_task-s06e08a	sub-01	37.228	37.366	be
ses-056_task-s06e08a	sub-01	37.388	37.774	careful.
ses-056_task-s06e08a	sub-01	37.842	38.025999999999996	This
ses-056_task-s06e08a	sub-01	38.048	38.234	girl
ses-056_task-s06e08a	sub-01	38.272	38.474	thing
ses-056_task-s06e08a	sub-01	38.512	38.666000000000004	is
ses-056_task-s06e08a	sub-01	38.688	39.174	['dangerous.
ses-056_task-s06e08a	sub-01	39.222	39.478	It's
ses-056_task-s06e08a	sub-01	39.494	39.846	spreading']
ses-056_task-s06e08a	sub-01	39.878	40.46	already.
ses-056_task-s06e08a	sub-01	40.83	41.193999999999996	It
ses-056_task-s06e08a	sub-01	41.232	41.82	is?
ses-056_task-s06e08a	sub-01	42.99	43.45	Your
ses-056_task-s06e08a	sub-01	43.52	43.85	pretty
ses-056_task-s06e08a	sub-01	43.92	44.246	pink
ses-056_task-s06e08a	sub-01	44.278	44.646	pillow
ses-056_task-s06e08a	sub-01	44.678	44.778	on
ses-056_task-s06e08a	sub-01	44.784	44.906	the
ses-056_task-s06e08a	sub-01	44.928	45.529999999999994	couch?
ses-056_task-s06e08a	sub-01	46.99	47.306000000000004	Is
ses-056_task-s06e08a	sub-01	47.328	47.514	that
ses-056_task-s06e08a	sub-01	47.552	47.85	['your
ses-056_task-s06e08a	sub-01	47.92	48.294000000000004	tiny
ses-056_task-s06e08a	sub-01	48.342	48.554	little
ses-056_task-s06e08a	sub-01	48.592	48.842	box
ses-056_task-s06e08a	sub-01	48.896	49.078	"that's""""]"
ses-056_task-s06e08a	sub-01	49.094	49.226	too
ses-056_task-s06e08a	sub-01	49.248	49.434	small
ses-056_task-s06e08a	sub-01	49.472	49.626000000000005	to
ses-056_task-s06e08a	sub-01	49.648	49.786	put
ses-056_task-s06e08a	sub-01	49.808	50.089999999999996	anything
ses-056_task-s06e08a	sub-01	50.16	50.779999999999994	in?
ses-056_task-s06e08a	sub-01	51.63	52.330000000000005	No.
ses-056_task-s06e08a	sub-01	52.48	52.842	Okay,
ses-056_task-s06e08a	sub-01	52.896	53.078	this
ses-056_task-s06e08a	sub-01	53.104	53.246	is
ses-056_task-s06e08a	sub-01	53.268	53.502	not
ses-056_task-s06e08a	sub-01	53.556	53.965999999999994	good.
ses-056_task-s06e08a	sub-01	54.068	54.477999999999994	You
ses-056_task-s06e08a	sub-01	54.564	54.814	are
ses-056_task-s06e08a	sub-01	54.852	55.006	a
ses-056_task-s06e08a	sub-01	55.028	55.358	guy,
ses-056_task-s06e08a	sub-01	55.444	55.742000000000004	okay?
