dataset	subject	onset	offset	word
ses-066_task-s06e24d	sub-01	0.33	0.446	['I
ses-066_task-s06e24d	sub-01	0.468	0.6060000000000001	don't
ses-066_task-s06e24d	sub-01	0.628	0.766	know
ses-066_task-s06e24d	sub-01	0.788	0.926	why
ses-066_task-s06e24d	sub-01	0.948	1.146	"I'm""""]"
ses-066_task-s06e24d	sub-01	1.178	1.7599999999999998	here.
ses-066_task-s06e24d	sub-01	2.45	2.814	I
ses-066_task-s06e24d	sub-01	2.852	3.114	"[""""didn't"
ses-066_task-s06e24d	sub-01	3.162	3.76	ask.']
ses-066_task-s06e24d	sub-01	6.45	6.766	You
ses-066_task-s06e24d	sub-01	6.788	6.926	want
ses-066_task-s06e24d	sub-01	6.948	7.038	to
ses-066_task-s06e24d	sub-01	7.044	7.2139999999999995	come
ses-066_task-s06e24d	sub-01	7.252	7.84	['in?
ses-066_task-s06e24d	sub-01	8.21	8.526000000000002	I
ses-066_task-s06e24d	sub-01	8.548	8.746	"don't""""]"
ses-066_task-s06e24d	sub-01	8.778	9.360000000000001	know.
ses-066_task-s06e24d	sub-01	10.61	11.022	Oh,
ses-066_task-s06e24d	sub-01	11.076	11.68	okay.
ses-066_task-s06e24d	sub-01	13.01	13.374	Well,
ses-066_task-s06e24d	sub-01	13.412	13.578000000000001	"[""""I'll"
ses-066_task-s06e24d	sub-01	13.594	13.774	just
ses-066_task-s06e24d	sub-01	13.812	13.966	leave
ses-066_task-s06e24d	sub-01	13.988	14.078	the
ses-066_task-s06e24d	sub-01	14.084	14.346	door
ses-066_task-s06e24d	sub-01	14.378	14.526	open
ses-066_task-s06e24d	sub-01	14.548	14.686	and
ses-066_task-s06e24d	sub-01	14.708	14.846	go']
ses-066_task-s06e24d	sub-01	14.868	15.054	sit
ses-066_task-s06e24d	sub-01	15.092	15.198	on
ses-066_task-s06e24d	sub-01	15.204	15.278	the
ses-066_task-s06e24d	sub-01	15.284	15.870000000000001	couch.
ses-066_task-s06e24d	sub-01	18.85	19.546000000000003	Chandler
ses-066_task-s06e24d	sub-01	19.578	19.726	is
ses-066_task-s06e24d	sub-01	19.748	19.886000000000003	such
ses-066_task-s06e24d	sub-01	19.908	20.094	an
ses-066_task-s06e24d	sub-01	20.132	20.89	idiot.
ses-066_task-s06e24d	sub-01	21.05	21.95	Drink?
ses-066_task-s06e24d	sub-01	23.33	23.982	['Yeah
ses-066_task-s06e24d	sub-01	24.116	24.378	
ses-066_task-s06e24d	sub-01	24.394	24.526	I'll
ses-066_task-s06e24d	sub-01	24.548	24.637999999999998	have
ses-066_task-s06e24d	sub-01	24.644	25.026	a
ses-066_task-s06e24d	sub-01	25.098	25.458	rocks,
ses-066_task-s06e24d	sub-01	25.474	25.606	with
ses-066_task-s06e24d	sub-01	25.628	25.718	a
ses-066_task-s06e24d	sub-01	25.724	26.37	twist.
ses-066_task-s06e24d	sub-01	26.53	26.854000000000003	I
ses-066_task-s06e24d	sub-01	26.892	27.48	remember.
ses-066_task-s06e24d	sub-01	30.73	31.046	You
ses-066_task-s06e24d	sub-01	31.068	31.254	still
ses-066_task-s06e24d	sub-01	31.292	31.990000000000002	smoking.
ses-066_task-s06e24d	sub-01	33.77	34.230000000000004	No,
ses-066_task-s06e24d	sub-01	34.3	34.678	['no
ses-066_task-s06e24d	sub-01	34.764	35.538000000000004	
ses-066_task-s06e24d	sub-01	35.714	36.44	art.
ses-066_task-s06e24d	sub-01	37.95	38.314	If
ses-066_task-s06e24d	sub-01	38.352	38.458	it
ses-066_task-s06e24d	sub-01	38.464	38.726	bothers
ses-066_task-s06e24d	sub-01	38.758	38.906000000000006	you,
ses-066_task-s06e24d	sub-01	38.928	39.018	I
ses-066_task-s06e24d	sub-01	39.024	39.146	can
ses-066_task-s06e24d	sub-01	39.168	39.306	put
ses-066_task-s06e24d	sub-01	39.328	39.562000000000005	my
ses-066_task-s06e24d	sub-01	39.616	39.93	art
ses-066_task-s06e24d	sub-01	40.0	40.62	out.
ses-066_task-s06e24d	sub-01	42.19	42.646	"[""""That's""""]"
ses-066_task-s06e24d	sub-01	42.678	43.26	okay.
ses-066_task-s06e24d	sub-01	46.19	46.553999999999995	So,
ses-066_task-s06e24d	sub-01	46.592	47.449999999999996	Monica,
ses-066_task-s06e24d	sub-01	48.03	48.346000000000004	let
ses-066_task-s06e24d	sub-01	48.368	48.506	me
ses-066_task-s06e24d	sub-01	48.528	48.666	ask
ses-066_task-s06e24d	sub-01	48.688	48.826	you
ses-066_task-s06e24d	sub-01	48.848	49.42	a
ses-066_task-s06e24d	sub-01	50.11	50.474	know,
ses-066_task-s06e24d	sub-01	50.512	50.762	since
ses-066_task-s06e24d	sub-01	50.816	50.95	we
ses-066_task-s06e24d	sub-01	50.96	51.226	broke
ses-066_task-s06e24d	sub-01	51.258	51.454	up,
ses-066_task-s06e24d	sub-01	51.492	51.598	do
ses-066_task-s06e24d	sub-01	51.604	51.726	you
ses-066_task-s06e24d	sub-01	51.748	52.32	ever
ses-066_task-s06e24d	sub-01	53.17	53.534	think
ses-066_task-s06e24d	sub-01	53.572	53.774	about
ses-066_task-s06e24d	sub-01	53.812	54.4	me?
ses-066_task-s06e24d	sub-01	55.01	55.565999999999995	Yeah.
ses-066_task-s06e24d	sub-01	55.668	56.03	Actually,
ses-066_task-s06e24d	sub-01	56.1	56.382	I
ses-066_task-s06e24d	sub-01	56.436	56.654	thought
ses-066_task-s06e24d	sub-01	56.692	56.846000000000004	about
ses-066_task-s06e24d	sub-01	56.868	57.246	you
ses-066_task-s06e24d	sub-01	57.348	57.566	a
ses-066_task-s06e24d	sub-01	57.588	57.774	couple
ses-066_task-s06e24d	sub-01	57.812	58.013999999999996	months
ses-066_task-s06e24d	sub-01	58.052	58.542	ago.
ses-066_task-s06e24d	sub-01	58.676	58.974000000000004	Oh,
ses-066_task-s06e24d	sub-01	59.012	59.406	really?
ses-066_task-s06e24d	sub-01	59.508	59.774	['Yeah
ses-066_task-s06e24d	sub-01	59.812	59.918	
ses-066_task-s06e24d	sub-01	59.924	60.106	but
ses-066_task-s06e24d	sub-01	60.138	60.43	it's
ses-066_task-s06e24d	sub-01	60.5	60.686	because
ses-066_task-s06e24d	sub-01	60.708	60.846	I
ses-066_task-s06e24d	sub-01	60.868	61.15	that
ses-066_task-s06e24d	sub-01	61.22	61.466	eye
ses-066_task-s06e24d	sub-01	61.498	61.885999999999996	exam
ses-066_task-s06e24d	sub-01	61.988	62.458	and
ses-066_task-s06e24d	sub-01	62.564	62.738	['I
ses-066_task-s06e24d	sub-01	62.744	62.866	don't
ses-066_task-s06e24d	sub-01	62.888	63.025999999999996	like
ses-066_task-s06e24d	sub-01	63.048	63.138000000000005	my
ses-066_task-s06e24d	sub-01	63.144	63.314	new
ses-066_task-s06e24d	sub-01	63.352	63.517999999999994	eye']
ses-066_task-s06e24d	sub-01	63.534	64.21	doctor.
ses-066_task-s06e24d	sub-01	65.75	66.114	Who
ses-066_task-s06e24d	sub-01	66.152	66.306	is
ses-066_task-s06e24d	sub-01	66.328	66.562	it?
ses-066_task-s06e24d	sub-01	66.616	66.974	Edward
ses-066_task-s06e24d	sub-01	67.022	67.83800000000001	['Netsky?
ses-066_task-s06e24d	sub-01	67.934	68.194	Yeah
ses-066_task-s06e24d	sub-01	68.232	68.526	
ses-066_task-s06e24d	sub-01	68.558	68.754	no
ses-066_task-s06e24d	sub-01	68.792	69.38	good.
ses-066_task-s06e24d	sub-01	71.11	71.378	Do
ses-066_task-s06e24d	sub-01	71.384	71.458	you
ses-066_task-s06e24d	sub-01	71.464	72.02	ever
ses-066_task-s06e24d	sub-01	72.47	72.834	think
ses-066_task-s06e24d	sub-01	72.872	73.074	about
ses-066_task-s06e24d	sub-01	73.112	73.314	me
ses-066_task-s06e24d	sub-01	73.352	73.506	in
ses-066_task-s06e24d	sub-01	73.528	74.10000000000001	a
ses-066_task-s06e24d	sub-01	75.13	75.554	non
ses-066_task-s06e24d	sub-01	75.602	75.82600000000001	eye
ses-066_task-s06e24d	sub-01	75.858	76.162	doctor
ses-066_task-s06e24d	sub-01	76.226	76.84	way?
ses-066_task-s06e24d	sub-01	77.21	77.96	No.
ses-066_task-s06e24d	sub-01	82.65	83.254	Because
ses-066_task-s06e24d	sub-01	83.372	83.654	getting
ses-066_task-s06e24d	sub-01	83.692	83.89399999999999	over
ses-066_task-s06e24d	sub-01	83.932	84.086	you
ses-066_task-s06e24d	sub-01	84.108	84.24600000000001	is
ses-066_task-s06e24d	sub-01	84.268	84.358	the
ses-066_task-s06e24d	sub-01	84.364	84.626	hardest
ses-066_task-s06e24d	sub-01	84.658	84.806	thing
ses-066_task-s06e24d	sub-01	84.828	84.918	that
ses-066_task-s06e24d	sub-01	84.924	85.058	"[""""I've"
ses-066_task-s06e24d	sub-01	85.074	85.206	ever
ses-066_task-s06e24d	sub-01	85.228	85.366	had
ses-066_task-s06e24d	sub-01	85.388	85.52600000000001	to
ses-066_task-s06e24d	sub-01	85.548	86.12	do.']
ses-066_task-s06e24d	sub-01	87.21	87.586	And
ses-066_task-s06e24d	sub-01	87.628	87.738	I
ses-066_task-s06e24d	sub-01	87.744	87.914	never
ses-066_task-s06e24d	sub-01	87.952	88.106	let
ses-066_task-s06e24d	sub-01	88.128	88.362	myself
ses-066_task-s06e24d	sub-01	88.416	88.634	think
ses-066_task-s06e24d	sub-01	88.672	88.922	about
ses-066_task-s06e24d	sub-01	88.976	89.58	you.
ses-066_task-s06e24d	sub-01	97.15	98.08600000000001	Phoebe.
ses-066_task-s06e24d	sub-01	98.278	98.634	You
ses-066_task-s06e24d	sub-01	98.672	99.014	picked
ses-066_task-s06e24d	sub-01	99.062	99.542	Joey
ses-066_task-s06e24d	sub-01	99.606	99.942	and
ses-066_task-s06e24d	sub-01	100.016	100.394	Ross.
ses-066_task-s06e24d	sub-01	100.442	100.606	You
ses-066_task-s06e24d	sub-01	100.628	100.954	cannot
ses-066_task-s06e24d	sub-01	101.002	101.166	have
ses-066_task-s06e24d	sub-01	101.188	101.37400000000001	two
ses-066_task-s06e24d	sub-01	101.412	102.45800000000001	backups.
ses-066_task-s06e24d	sub-01	102.634	102.926	Of
ses-066_task-s06e24d	sub-01	102.948	103.22999999999999	course
ses-066_task-s06e24d	sub-01	103.3	103.53399999999999	I
ses-066_task-s06e24d	sub-01	103.572	104.254	can.
ses-066_task-s06e24d	sub-01	104.452	104.826	"[""""It's"
ses-066_task-s06e24d	sub-01	104.858	105.054	just
ses-066_task-s06e24d	sub-01	105.092	105.342	good
ses-066_task-s06e24d	sub-01	105.396	105.614	sense']
ses-066_task-s06e24d	sub-01	105.652	105.854	to
ses-066_task-s06e24d	sub-01	105.892	106.094	back
ses-066_task-s06e24d	sub-01	106.132	106.286	up
ses-066_task-s06e24d	sub-01	106.308	106.542	your
ses-066_task-s06e24d	sub-01	106.596	107.274	backup.
ses-066_task-s06e24d	sub-01	107.402	107.694	['Look
ses-066_task-s06e24d	sub-01	107.732	107.946	
ses-066_task-s06e24d	sub-01	107.978	108.222	I've
ses-066_task-s06e24d	sub-01	108.276	108.554	already
ses-066_task-s06e24d	sub-01	108.602	109.47	Chandler.
ses-066_task-s06e24d	sub-01	111.57	112.47	['Phoebe
ses-066_task-s06e24d	sub-01	112.65	113.006	
ses-066_task-s06e24d	sub-01	113.038	113.33	both
ses-066_task-s06e24d	sub-01	113.4	113.58600000000001	your
ses-066_task-s06e24d	sub-01	113.608	114.062	backup.
ses-066_task-s06e24d	sub-01	114.126	114.638	Phoebe,
ses-066_task-s06e24d	sub-01	114.734	114.946	how
ses-066_task-s06e24d	sub-01	114.968	115.10600000000001	could
ses-066_task-s06e24d	sub-01	115.128	115.266	you
ses-066_task-s06e24d	sub-01	115.288	115.474	do
ses-066_task-s06e24d	sub-01	115.512	115.666	this
ses-066_task-s06e24d	sub-01	115.688	115.82600000000001	to
ses-066_task-s06e24d	sub-01	115.848	116.42	me?
ses-066_task-s06e24d	sub-01	117.19	117.886	['Agalo
ses-066_task-s06e24d	sub-01	117.918	118.018	
