dataset	subject	onset	offset	word
ses-010_task-life04_run-2	sub-01	0.16	0.7000000000000001	Fight.
ses-010_task-life04_run-2	sub-01	73.91	74.734	Victory
ses-010_task-life04_run-2	sub-01	74.862	75.12599999999999	for
ses-010_task-life04_run-2	sub-01	75.158	75.35	the
ses-010_task-life04_run-2	sub-01	75.39	76.45	overlord.
ses-010_task-life04_run-2	sub-01	77.31	77.83800000000001	His
ses-010_task-life04_run-2	sub-01	77.934	78.55	domination
ses-010_task-life04_run-2	sub-01	78.67	78.926	of
ses-010_task-life04_run-2	sub-01	78.958	79.14999999999999	his
ses-010_task-life04_run-2	sub-01	79.19	79.50999999999999	channel
ses-010_task-life04_run-2	sub-01	79.55	79.654	in
ses-010_task-life04_run-2	sub-01	79.662	79.80600000000001	the
ses-010_task-life04_run-2	sub-01	79.838	80.222	river
ses-010_task-life04_run-2	sub-01	80.326	81.118	remains
ses-010_task-life04_run-2	sub-01	81.294	81.606	and
ses-010_task-life04_run-2	sub-01	81.638	81.80600000000001	with
ses-010_task-life04_run-2	sub-01	81.838	82.198	it,
ses-010_task-life04_run-2	sub-01	82.294	82.726	mating
ses-010_task-life04_run-2	sub-01	82.798	83.27	rights
ses-010_task-life04_run-2	sub-01	83.39	83.622	with
ses-010_task-life04_run-2	sub-01	83.646	83.782	the
ses-010_task-life04_run-2	sub-01	83.806	84.61	females.
ses-010_task-life04_run-2	sub-01	92.19	92.502	The
ses-010_task-life04_run-2	sub-01	92.526	92.91	loser
ses-010_task-life04_run-2	sub-01	92.95	93.15	is
ses-010_task-life04_run-2	sub-01	93.19	93.89	alive,
ses-010_task-life04_run-2	sub-01	94.19	94.574	but
ses-010_task-life04_run-2	sub-01	94.622	94.854	is
ses-010_task-life04_run-2	sub-01	94.902	95.11	an
ses-010_task-life04_run-2	sub-01	95.15	96.05000000000001	outcast.
ses-010_task-life04_run-2	sub-01	96.23	96.57000000000001	He
ses-010_task-life04_run-2	sub-01	96.61	97.154	retreats
ses-010_task-life04_run-2	sub-01	97.202	97.41	to
ses-010_task-life04_run-2	sub-01	97.45	97.74600000000001	another
ses-010_task-life04_run-2	sub-01	97.818	98.026	part
ses-010_task-life04_run-2	sub-01	98.058	98.17800000000001	of
ses-010_task-life04_run-2	sub-01	98.194	98.322	the
ses-010_task-life04_run-2	sub-01	98.346	98.794	['river
ses-010_task-life04_run-2	sub-01	98.922	99.18599999999999	
ses-010_task-life04_run-2	sub-01	99.218	99.45	where
ses-010_task-life04_run-2	sub-01	99.49	99.714	it's
ses-010_task-life04_run-2	sub-01	99.762	100.266	shallow
ses-010_task-life04_run-2	sub-01	100.338	100.57	that
ses-010_task-life04_run-2	sub-01	100.61	100.786	no
ses-010_task-life04_run-2	sub-01	100.818	101.322	females
ses-010_task-life04_run-2	sub-01	101.386	101.562	will
ses-010_task-life04_run-2	sub-01	101.586	102.14999999999999	follow.
ses-010_task-life04_run-2	sub-01	104.97	105.354	His
ses-010_task-life04_run-2	sub-01	105.402	105.97	chance
ses-010_task-life04_run-2	sub-01	106.09	106.346	to
ses-010_task-life04_run-2	sub-01	106.378	106.73	father
ses-010_task-life04_run-2	sub-01	106.81	107.61800000000001	offspring
ses-010_task-life04_run-2	sub-01	107.754	108.074	is
ses-010_task-life04_run-2	sub-01	108.122	108.666	over
ses-010_task-life04_run-2	sub-01	108.818	109.13	for
ses-010_task-life04_run-2	sub-01	109.17	109.75	now.
ses-010_task-life04_run-2	sub-01	114.77	115.13	For
ses-010_task-life04_run-2	sub-01	115.17	115.44200000000001	some
ses-010_task-life04_run-2	sub-01	115.506	116.058	animals,
ses-010_task-life04_run-2	sub-01	116.154	116.41	the
ses-010_task-life04_run-2	sub-01	116.45	116.93	challenges
ses-010_task-life04_run-2	sub-01	116.97	117.146	of
ses-010_task-life04_run-2	sub-01	117.178	117.666	breeding
ses-010_task-life04_run-2	sub-01	117.738	117.922	are
ses-010_task-life04_run-2	sub-01	117.946	118.106	not
ses-010_task-life04_run-2	sub-01	118.138	118.378	about
ses-010_task-life04_run-2	sub-01	118.434	119.218	fighting,
ses-010_task-life04_run-2	sub-01	119.354	119.65	but
ses-010_task-life04_run-2	sub-01	119.69	120.05799999999999	about
ses-010_task-life04_run-2	sub-01	120.154	121.11	courtship.
ses-010_task-life04_run-2	sub-01	124.73	125.186	Among
ses-010_task-life04_run-2	sub-01	125.258	125.938	birds,
ses-010_task-life04_run-2	sub-01	126.074	126.898	displays,
ses-010_task-life04_run-2	sub-01	127.034	127.634	songs
ses-010_task-life04_run-2	sub-01	127.682	127.89	and
ses-010_task-life04_run-2	sub-01	127.93	128.53	rituals
ses-010_task-life04_run-2	sub-01	128.61	128.85000000000002	can
ses-010_task-life04_run-2	sub-01	128.89	129.18599999999998	reach
ses-010_task-life04_run-2	sub-01	129.258	129.994	extraordinary
ses-010_task-life04_run-2	sub-01	130.042	130.386	levels
ses-010_task-life04_run-2	sub-01	130.418	130.61	of
ses-010_task-life04_run-2	sub-01	130.65	131.274	complexity
ses-010_task-life04_run-2	sub-01	131.322	131.482	and
ses-010_task-life04_run-2	sub-01	131.506	132.19	beauty.
ses-010_task-life04_run-2	sub-01	139.57	140.09799999999998	During
ses-010_task-life04_run-2	sub-01	140.194	140.58599999999998	spring,
ses-010_task-life04_run-2	sub-01	140.658	140.81799999999998	on
ses-010_task-life04_run-2	sub-01	140.834	140.962	the
ses-010_task-life04_run-2	sub-01	140.986	141.522	freshwater
ses-010_task-life04_run-2	sub-01	141.586	141.89800000000002	lakes
ses-010_task-life04_run-2	sub-01	141.914	142.04199999999997	of
ses-010_task-life04_run-2	sub-01	142.066	142.946	Oregon,
ses-010_task-life04_run-2	sub-01	143.138	144.082	grebes
ses-010_task-life04_run-2	sub-01	144.186	144.594	join
ses-010_task-life04_run-2	sub-01	144.642	145.018	together
ses-010_task-life04_run-2	sub-01	145.114	145.322	to
ses-010_task-life04_run-2	sub-01	145.346	145.65	renew
ses-010_task-life04_run-2	sub-01	145.69	145.86599999999999	their
ses-010_task-life04_run-2	sub-01	145.898	146.82999999999998	partnership.
ses-010_task-life04_run-2	sub-01	162.3	162.63600000000002	The
ses-010_task-life04_run-2	sub-01	162.668	163.26000000000002	ceremony
ses-010_task-life04_run-2	sub-01	163.34	163.88400000000001	starts
ses-010_task-life04_run-2	sub-01	163.932	164.09199999999998	with
ses-010_task-life04_run-2	sub-01	164.116	164.252	a
ses-010_task-life04_run-2	sub-01	164.276	164.62800000000001	series
ses-010_task-life04_run-2	sub-01	164.724	165.052	of
ses-010_task-life04_run-2	sub-01	165.116	165.644	graceful
ses-010_task-life04_run-2	sub-01	165.692	166.476	duets
ses-010_task-life04_run-2	sub-01	166.628	166.892	in
ses-010_task-life04_run-2	sub-01	166.916	167.1	which
ses-010_task-life04_run-2	sub-01	167.14	167.38799999999998	one
ses-010_task-life04_run-2	sub-01	167.444	168.04399999999998	partner
ses-010_task-life04_run-2	sub-01	168.132	168.66	echoes
ses-010_task-life04_run-2	sub-01	168.7	168.87599999999998	the
ses-010_task-life04_run-2	sub-01	168.908	169.332	actions
ses-010_task-life04_run-2	sub-01	169.356	169.516	of
ses-010_task-life04_run-2	sub-01	169.548	169.692	the
ses-010_task-life04_run-2	sub-01	169.716	170.28	other.
ses-010_task-life04_run-2	sub-01	176.74	177.196	But
ses-010_task-life04_run-2	sub-01	177.268	177.5	the
ses-010_task-life04_run-2	sub-01	177.54	177.83599999999998	real
ses-010_task-life04_run-2	sub-01	177.908	178.428	test
ses-010_task-life04_run-2	sub-01	178.564	179.028	comes
ses-010_task-life04_run-2	sub-01	179.124	179.76	now.
ses-010_task-life04_run-2	sub-01	181.54	181.97199999999998	Only
ses-010_task-life04_run-2	sub-01	182.036	182.26	the
ses-010_task-life04_run-2	sub-01	182.3	182.86800000000002	strongest
ses-010_task-life04_run-2	sub-01	182.924	183.092	and
ses-010_task-life04_run-2	sub-01	183.116	183.252	the
ses-010_task-life04_run-2	sub-01	183.276	183.46	most
ses-010_task-life04_run-2	sub-01	183.5	184.204	faithful
ses-010_task-life04_run-2	sub-01	184.332	184.572	are
ses-010_task-life04_run-2	sub-01	184.596	185.004	prepared
ses-010_task-life04_run-2	sub-01	185.052	185.212	to
ses-010_task-life04_run-2	sub-01	185.236	185.48399999999998	join
ses-010_task-life04_run-2	sub-01	185.532	186.05200000000002	together
ses-010_task-life04_run-2	sub-01	186.196	186.428	for
ses-010_task-life04_run-2	sub-01	186.444	186.57199999999997	the
ses-010_task-life04_run-2	sub-01	186.596	187.068	final
ses-010_task-life04_run-2	sub-01	187.204	187.948	exultant
ses-010_task-life04_run-2	sub-01	188.004	188.67999999999998	dance.
ses-010_task-life04_run-2	sub-01	244.94	245.396	Those
ses-010_task-life04_run-2	sub-01	245.468	245.868	animals
ses-010_task-life04_run-2	sub-01	245.924	246.14000000000001	which
ses-010_task-life04_run-2	sub-01	246.18	246.356	have
ses-010_task-life04_run-2	sub-01	246.388	246.94	young
ses-010_task-life04_run-2	sub-01	247.1	247.468	now
ses-010_task-life04_run-2	sub-01	247.524	247.932	face
ses-010_task-life04_run-2	sub-01	248.036	248.3	a
ses-010_task-life04_run-2	sub-01	248.34	248.67600000000002	whole
ses-010_task-life04_run-2	sub-01	248.748	249.028	new
ses-010_task-life04_run-2	sub-01	249.084	249.324	set
ses-010_task-life04_run-2	sub-01	249.372	249.62800000000001	of
ses-010_task-life04_run-2	sub-01	249.684	250.468	challenges
ses-010_task-life04_run-2	sub-01	250.604	250.876	to
ses-010_task-life04_run-2	sub-01	250.908	251.404	protect
ses-010_task-life04_run-2	sub-01	251.492	251.76399999999998	and
ses-010_task-life04_run-2	sub-01	251.812	252.21200000000002	nurture
ses-010_task-life04_run-2	sub-01	252.276	252.5	their
ses-010_task-life04_run-2	sub-01	252.54	253.35999999999999	offspring.
ses-010_task-life04_run-2	sub-01	257.22	257.50800000000004	In
ses-010_task-life04_run-2	sub-01	257.524	257.652	the
ses-010_task-life04_run-2	sub-01	257.676	258.07599999999996	cold
ses-010_task-life04_run-2	sub-01	258.148	258.62	waters
ses-010_task-life04_run-2	sub-01	258.66	258.812	of
ses-010_task-life04_run-2	sub-01	258.836	258.97200000000004	the
ses-010_task-life04_run-2	sub-01	258.996	259.364	northern
ses-010_task-life04_run-2	sub-01	259.412	259.83599999999996	Pacific
ses-010_task-life04_run-2	sub-01	259.908	260.668	Ocean,
ses-010_task-life04_run-2	sub-01	260.844	261.156	there
ses-010_task-life04_run-2	sub-01	261.188	261.5	lives
ses-010_task-life04_run-2	sub-01	261.58	261.796	a
ses-010_task-life04_run-2	sub-01	261.828	262.59999999999997	giant.
ses-010_task-life04_run-2	sub-01	269.2	269.536	A
ses-010_task-life04_run-2	sub-01	269.568	270.03999999999996	giant
ses-010_task-life04_run-2	sub-01	270.12	270.664	Pacific
ses-010_task-life04_run-2	sub-01	270.752	271.616	octopus
ses-010_task-life04_run-2	sub-01	271.768	272.056	at
ses-010_task-life04_run-2	sub-01	272.088	272.35200000000003	over
ses-010_task-life04_run-2	sub-01	272.416	272.736	4
ses-010_task-life04_run-2	sub-01	272.808	273.256	meters
ses-010_task-life04_run-2	sub-01	273.328	273.94	long.
ses-010_task-life04_run-2	sub-01	279.0	279.432	She
ses-010_task-life04_run-2	sub-01	279.496	279.71999999999997	is
ses-010_task-life04_run-2	sub-01	279.76	280.4	hunting
ses-010_task-life04_run-2	sub-01	280.56	280.88	not
ses-010_task-life04_run-2	sub-01	280.92	281.096	for
ses-010_task-life04_run-2	sub-01	281.128	281.728	prey,
ses-010_task-life04_run-2	sub-01	281.864	282.15999999999997	but
ses-010_task-life04_run-2	sub-01	282.2	282.448	for
ses-010_task-life04_run-2	sub-01	282.504	282.696	a
ses-010_task-life04_run-2	sub-01	282.728	283.208	den,
ses-010_task-life04_run-2	sub-01	283.344	283.776	somewhere
ses-010_task-life04_run-2	sub-01	283.808	283.976	to
ses-010_task-life04_run-2	sub-01	284.008	284.304	settle
ses-010_task-life04_run-2	sub-01	284.352	284.584	down
ses-010_task-life04_run-2	sub-01	284.632	284.84000000000003	and
ses-010_task-life04_run-2	sub-01	284.88	285.5	hide.
ses-010_task-life04_run-2	sub-01	296.6	296.91200000000003	Her
ses-010_task-life04_run-2	sub-01	296.936	297.38399999999996	den
ses-010_task-life04_run-2	sub-01	297.512	297.8	has
ses-010_task-life04_run-2	sub-01	297.84	297.99199999999996	to
ses-010_task-life04_run-2	sub-01	298.016	298.24800000000005	be
ses-010_task-life04_run-2	sub-01	298.304	298.712	just
ses-010_task-life04_run-2	sub-01	298.816	299.46	right.
ses-010_task-life04_run-2	sub-01	301.18	301.556	"[""""She's"
ses-010_task-life04_run-2	sub-01	301.588	301.732	going
ses-010_task-life04_run-2	sub-01	301.756	301.916	to
ses-010_task-life04_run-2	sub-01	301.948	302.14	live']
ses-010_task-life04_run-2	sub-01	302.18	302.548	here
ses-010_task-life04_run-2	sub-01	302.644	302.85200000000003	for
ses-010_task-life04_run-2	sub-01	302.876	303.036	the
