dataset	subject	onset	offset	word
ses-006_task-wolf17	sub-01	0.24	0.696	Electronic
ses-006_task-wolf17	sub-01	0.696	1.072	bracelet
ses-006_task-wolf17	sub-01	1.102	1.31	around
ses-006_task-wolf17	sub-01	1.35	1.4780000000000002	my
ses-006_task-wolf17	sub-01	1.494	1.87	['ankle.
ses-006_task-wolf17	sub-01	1.95	2.166	Now
ses-006_task-wolf17	sub-01	2.198	2.342	you
ses-006_task-wolf17	sub-01	2.366	2.63	decide
ses-006_task-wolf17	sub-01	2.67	2.774	you
ses-006_task-wolf17	sub-01	2.782	2.902	"don't""""]"
ses-006_task-wolf17	sub-01	2.926	3.246	fucking
ses-006_task-wolf17	sub-01	3.278	3.422	love
ses-006_task-wolf17	sub-01	3.446	3.5340000000000003	me
ses-006_task-wolf17	sub-01	3.542	3.79	anymore,
ses-006_task-wolf17	sub-01	3.83	3.958	is
ses-006_task-wolf17	sub-01	3.974	4.102	that
ses-006_task-wolf17	sub-01	4.126	4.3340000000000005	right?
ses-006_task-wolf17	sub-01	4.382	4.97	No.
ses-006_task-wolf17	sub-01	5.59	5.902	What
ses-006_task-wolf17	sub-01	5.926	6.038	kind
ses-006_task-wolf17	sub-01	6.054	6.182	of
ses-006_task-wolf17	sub-01	6.206	6.438000000000001	person
ses-006_task-wolf17	sub-01	6.494	6.638	are
ses-006_task-wolf17	sub-01	6.654	7.21	you?
ses-006_task-wolf17	sub-01	7.51	7.822	Tell
ses-006_task-wolf17	sub-01	7.846	8.102	me.
ses-006_task-wolf17	sub-01	8.166	8.414	You
ses-006_task-wolf17	sub-01	8.462	8.814	married
ses-006_task-wolf17	sub-01	8.862	9.334	me.
ses-006_task-wolf17	sub-01	9.462	9.702	The
ses-006_task-wolf17	sub-01	9.726	9.926	fuck
ses-006_task-wolf17	sub-01	9.958	10.102	is
ses-006_task-wolf17	sub-01	10.126	10.261999999999999	that
ses-006_task-wolf17	sub-01	10.286	10.469999999999999	['supposed
ses-006_task-wolf17	sub-01	10.51	10.638	to
ses-006_task-wolf17	sub-01	10.654	10.998	mean?
ses-006_task-wolf17	sub-01	11.094	11.277999999999999	This
ses-006_task-wolf17	sub-01	11.294	11.422	is
ses-006_task-wolf17	sub-01	11.446	11.558	how
ses-006_task-wolf17	sub-01	11.574	11.741999999999999	"it's""""]"
ses-006_task-wolf17	sub-01	11.766	11.966	['gonna
ses-006_task-wolf17	sub-01	11.998	12.622	go.
ses-006_task-wolf17	sub-01	12.806	13.126	I'm
ses-006_task-wolf17	sub-01	13.158	13.341999999999999	gonna']
ses-006_task-wolf17	sub-01	13.366	13.526	take
ses-006_task-wolf17	sub-01	13.558	13.854	custody
ses-006_task-wolf17	sub-01	13.902	14.037999999999998	of
ses-006_task-wolf17	sub-01	14.054	14.182	the
ses-006_task-wolf17	sub-01	14.206	14.862	kids.
ses-006_task-wolf17	sub-01	15.046	15.341999999999999	If
ses-006_task-wolf17	sub-01	15.366	15.478	you
ses-006_task-wolf17	sub-01	15.494	15.67	agree
ses-006_task-wolf17	sub-01	15.71	15.838000000000001	to
ses-006_task-wolf17	sub-01	15.854	16.006	the
ses-006_task-wolf17	sub-01	16.038	16.438	divorce
ses-006_task-wolf17	sub-01	16.494	16.686	right
ses-006_task-wolf17	sub-01	16.718	17.03	now,
ses-006_task-wolf17	sub-01	17.11	17.278	I
ses-006_task-wolf17	sub-01	17.294	17.422	will
ses-006_task-wolf17	sub-01	17.446	17.654	allow
ses-006_task-wolf17	sub-01	17.702	18.438000000000002	['visitation.
ses-006_task-wolf17	sub-01	18.534	19.006	Okay?
ses-006_task-wolf17	sub-01	19.078	19.326	"Don't""""]"
ses-006_task-wolf17	sub-01	19.358	19.502	try
ses-006_task-wolf17	sub-01	19.526	19.637999999999998	to
ses-006_task-wolf17	sub-01	19.654	19.83	fight
ses-006_task-wolf17	sub-01	19.87	20.382	it.
